game,seed,status,completed,progress_frames,progress_agent_actions,progress_source,latest_score_frame,latest_score,score_source,logdir,error_hint
qbert,1,completed,True,440000,110000,update_trace_v6,437984,600.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/qbert/seed_1,
qbert,2,completed,True,440000,110000,update_trace_v6,438184,4050.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/qbert/seed_2,
qbert,3,completed,True,440000,110000,update_trace_v6,438960,3975.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/qbert/seed_3,
qbert,4,completed,True,440000,110000,update_trace_v6,439076,800.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/qbert/seed_4,
road_runner,0,completed,True,440000,110000,update_trace_v6,439712,18800.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/road_runner/seed_0,
road_runner,1,completed,True,440000,110000,update_trace_v6,437816,15800.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/road_runner/seed_1,
road_runner,2,completed,True,440000,110000,update_trace_v6,436792,16700.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/road_runner/seed_2,
road_runner,3,completed,True,440000,110000,update_trace_v6,436680,8400.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/road_runner/seed_3,
road_runner,4,partial,False,6252,1563,update_trace_v6,6172,0.0,paper_episode_scores,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/road_runner/seed_4,interrupted/launcher stopped before target; no stdout traceback found
seaquest,0,partial,False,42480,10620,update_trace_v6,38568,340.0,paper_episode_scores,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/seaquest/seed_0,interrupted/launcher stopped before target; no stdout traceback found
seaquest,1,partial,False,121280,30320,update_trace_v6,117100,660.0,paper_episode_scores,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/seaquest/seed_1,interrupted/launcher stopped before target; no stdout traceback found
seaquest,2,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/seaquest/seed_2,not launched
seaquest,3,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/seaquest/seed_3,not launched
seaquest,4,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/seaquest/seed_4,not launched
up_n_down,0,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/up_n_down/seed_0,not launched
up_n_down,1,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/up_n_down/seed_1,not launched
up_n_down,2,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/up_n_down/seed_2,not launched
up_n_down,3,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/up_n_down/seed_3,not launched
up_n_down,4,missing,False,,,,,,,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/up_n_down/seed_4,not launched
